class,coastal_aerosol,blue,green,red,red_edge1,red_edge2,red_edge3,nir,narrow_nir,water_vapour,swir1,swir2,scl,NDVI,kNDVI,NDVI8a,EVI,TCG_GSO,TCG,LAI,SAVI,MSAVI,BUI,NDBI,NDMI,BAEI,BSI,x_coord,y_coord
1,240,229,239.75,248.75,506,1205,1489,1692.5,1773,2103.25,631.5,333.5,4,0.703579,0.458199,0.7365,0.315008,0.010219,0.107424,1.021698,0.308353,0.267722,-1.209004,-0.454335,0.454335,3.998518,-0.393192,559345,5607475
1,2,56.5,122.5,211,444,1253.5,1462,1678,1815.5,2021,699,410,7,0.751924,0.511757,0.762689,0.284447,0.004075,0.103061,0.91113,0.291321,0.250764,-1.175758,-0.424253,0.424253,3.748157,-0.314109,567250,5605685
1,575,445.5,507,569,952,1624,1970,2358,2373,2619,818,509,7,0.578068,0.32226,0.601185,0.359993,-0.003739,0.126427,1.184456,0.324279,0.295915,-1.039835,-0.479225,0.479225,2.690034,-0.315151,562055,5606120
1,303,368.25,357.5,374,717,1101,1308,1699,1700,1649,834,525,7,0.618322,0.364722,0.633497,0.296266,-0.011372,0.085399,0.953892,0.265669,0.224884,-1.010352,-0.34135,0.34135,3.210609,-0.254916,560200,5607595
1,511.25,252.5,254.5,388,643.25,1104,1309,1688,1639,2230,763.5,455.5,7,0.638479,0.386895,0.620865,0.281991,-0.002547,0.101661,0.902244,0.288031,0.247729,-1.053684,-0.398068,0.398068,3.408808,-0.274728,568680,5607275
1,53.5,51,102,117,358,1221,1525,1795.5,1813,1894.5,459.5,257.5,5.5,0.877026,0.644248,0.876682,0.343095,0.031925,0.126547,1.123317,0.357817,0.319075,-1.468062,-0.590669,0.590669,5.485498,-0.530688,567575,5607080
1,279,180,258,274.5,507,1258,1524,1668.25,1761,1874,486,335,7,0.737013,0.495397,0.738998,0.296475,0.017165,0.109353,0.954645,0.313442,0.269562,-1.284699,-0.535683,0.535683,4.299124,-0.42221,567690,5607060
1,91,309,495,678.5,1047,1747,2047,2388,2393,2770,1089,703,7,0.552913,0.3006,0.533746,0.289838,-0.022512,0.120074,0.930635,0.305423,0.274685,-0.911712,-0.380017,0.380017,2.357412,-0.198697,568895,5607045
1,42,50.5,108,156.25,465.5,1417.5,1774.25,2123.75,2162.25,1766.5,684,370.5,5.5,0.87501,0.639311,0.867957,0.394668,0.030388,0.150925,1.309909,0.411777,0.384902,-1.404089,-0.535439,0.535439,4.032136,-0.464456,566965,5606250
1,59.5,360.75,233.5,291.25,398,927.5,1172,1662,1433.5,2105,664,405,7,0.703585,0.458212,0.696638,0.302242,-0.003589,0.093934,0.975512,0.2845,0.244312,-1.100199,-0.386386,0.386386,3.673883,-0.331885,567475,5605925
1,1117,960,873.5,977,1281,1638,1753,2009,2168,2246,1189.5,840,7,0.350348,0.122131,0.357594,0.249006,-0.06806,0.066101,0.782903,0.206704,0.182899,-0.631581,-0.281233,0.281233,1.951265,-0.164303,572680,5629220
1,826,1067,1021.5,1064,1279,1681.5,1776.5,2042,1981.5,1953,435,333,7,0.309245,0.095343,0.305258,0.247893,-0.017801,0.055726,0.778877,0.174233,0.152635,-0.957218,-0.646709,0.646709,2.715423,-0.351748,576575,5611440
1,871,680,765,894,1232,1674,1880,2226.5,2234,2612,1149,720,7,0.426769,0.180146,0.43618,0.260544,-0.050273,0.086022,0.824647,0.240077,0.210343,-0.716056,-0.29257,0.29257,1.970188,-0.15464,586245,5619385
1,410,485,582.5,792.5,1129,1684,1929,2337.5,2396,2349,1155,761,7,0.490389,0.235968,0.503888,0.289926,-0.032149,0.111668,0.930952,0.288545,0.2581,-0.850997,-0.338412,0.338412,2.148874,-0.185752,585670,5620095
1,962,1140,1013,1048,1492,1929,2147,2406,2396,2344,843,539,7,0.357645,0.127217,0.405559,0.300507,-0.035099,0.076331,0.969235,0.220249,0.198022,-0.824679,-0.464135,0.464135,2.145,-0.280418,585295,5620640
1,1695,1785,1563,1535,1812,2037,2285,2092,2326,2185,1686,1933.5,7,0.157451,0.024806,0.178546,0.185446,-0.164988,-0.007611,0.552942,0.101192,0.087485,-0.29908,-0.135541,0.135541,1.39359,-0.111325,562590,5611185
1,533.5,481.5,577.5,770,1269.5,1915.5,2225,2602.5,2768,2963,1465,992,7,0.551236,0.295944,0.562611,0.341178,-0.044912,0.131329,1.116383,0.33182,0.303148,-0.83162,-0.284373,0.284373,1.844233,-0.159905,566425,5628505
