class,coastal_aerosol,blue,green,red,red_edge1,red_edge2,red_edge3,nir,narrow_nir,water_vapour,swir1,swir2,scl,NDVI,kNDVI,NDVI8a,EVI,TCG_GSO,TCG,LAI,SAVI,MSAVI,BUI,NDBI,NDMI,BAEI,BSI,x_coord,y_coord
1,539,571.5,630.5,489.5,824.5,2078,2608.5,2696,2891,2586.5,1164.5,611.5,4,0.689359,0.443296,0.705971,0.50574,-0.005307,0.151335,1.711766,0.397061,0.372986,-1.075758,-0.384296,0.384296,1.932267,-0.315375,567250,5605685
1,459,413,484,311.25,628.5,1898,2449,2442.5,2625.5,2666,988,439.5,4,0.779516,0.542467,0.797095,0.462805,0.011059,0.149609,1.556429,0.412428,0.383852,-1.199591,-0.424767,0.424767,2.244,-0.370852,567575,5607080
1,331.5,352,441,280,648,1864.5,2439.5,2609,2677.5,2821,1052.5,515,4,0.810293,0.57602,0.821439,0.456692,0.00727,0.159365,1.534312,0.411278,0.395356,-1.207171,-0.40672,0.40672,2.190707,-0.367541,568680,5607275
1,487,437,514,332,686,2183,2762,2750,2958,3063,1197.5,526,4,0.786498,0.550138,0.804587,0.508179,0.00866,0.16516,1.720592,0.438822,0.41917,-1.179314,-0.399579,0.399579,1.942524,-0.352604,567690,5607060
1,440,420,490,301.5,699,2582,3489,3744.5,3847,3759,1318,542,4,0.832936,0.600215,0.845618,0.654957,0.016244,0.219124,2.251634,0.488921,0.486501,-1.282992,-0.443297,0.443297,1.893062,-0.40354,562055,5606120
1,426,394.5,464,307,630,2157.75,2687.5,2829.5,2960.25,2814,1108,487,4,0.807928,0.573432,0.817504,0.522043,0.01518,0.185869,1.770751,0.472499,0.46279,-1.223912,-0.429867,0.429867,2.212774,-0.373462,559345,5607475
1,428,338,463.25,310.5,705,2475.5,3192,3033,3683.5,3034.5,1517.5,655,4,0.821212,0.587681,0.84349,0.563043,0.010885,0.20066,1.919091,0.497374,0.496557,-1.209584,-0.367667,0.367667,1.684672,-0.332127,560200,5607595
1,531,560,620,441,777,1901,2557,2818,2851,3100,1137,600,4,0.777887,0.540674,0.788367,0.549425,0.000348,0.19676,1.86982,0.489923,0.485898,-1.154532,-0.380345,0.380345,1.768332,-0.33471,568895,5607045
1,478,447.25,532.75,388.5,771.5,1697.5,2034,2237.5,2157,2246.75,933.5,544,4,0.689966,0.44316,0.708652,0.398395,0.004957,0.108888,1.323393,0.319486,0.282298,-1.157282,-0.404401,0.404401,2.063881,-0.343096,566965,5606250
1,493,421,538.25,351.75,743.5,2404,3073,3001,3400,3352.75,1286,619,4,0.814344,0.58046,0.827885,0.558589,0.000664,0.200658,1.902976,0.496973,0.49673,-1.150745,-0.370275,0.370275,1.800539,-0.319351,567475,5605925
1,683.5,516.75,649.75,539.25,994.75,2197.75,2708.5,2771.25,3048,3224,1808.25,1035.75,4,0.697456,0.451416,0.717486,0.478118,-0.051535,0.163091,1.611831,0.424646,0.404703,-0.891193,-0.213043,0.213043,1.512423,-0.169938,585295,5620640
1,658.5,626,890.75,634.25,1125.5,2775,3569.5,3785,3824.5,3858.5,1665,684.5,4,0.747834,0.506516,0.753944,0.649435,-0.004699,0.23176,2.231657,0.519205,0.529297,-1.13403,-0.378383,0.378383,1.37753,-0.330921,562590,5611185
1,456,410,548,400,831.5,2208.5,2725.5,2860.5,3066.5,3080.5,1588,778,4,0.759015,0.519728,0.776239,0.496379,-0.027664,0.17454,1.6779,0.449563,0.435517,-1.000434,-0.269722,0.269722,1.639155,-0.222639,586245,5619385
1,307,306,424,275,741,2517,3164,3177,3481,3368,1404,580.5,4,0.847746,0.616087,0.852032,0.579137,0.022179,0.211299,1.977316,0.511616,0.515657,-1.257376,-0.407126,0.407126,1.789699,-0.369228,585670,5620095
1,579,410,516.75,378,718,1973.75,2394,2665,2633.5,2977,1344,632.5,4,0.758093,0.518806,0.747833,0.478375,-0.006583,0.163354,1.612761,0.431783,0.413501,-1.108088,-0.347659,0.347659,1.87435,-0.299519,576575,5611440
1,483,402,579.5,394,938,2792.5,3497,3428,3863,3615,1933,886.5,4,0.81509,0.581126,0.820251,0.566159,-0.006651,0.214814,1.930365,0.509199,0.512471,-1.130899,-0.309098,0.309098,1.358146,-0.278069,572680,5629220
1,677,450.5,543,398,773,2362,2953,3038,3255,3366,1634.75,771.5,4,0.667306,0.418026,0.687392,0.482272,-0.017067,0.15071,1.626858,0.383045,0.362855,-1.028619,-0.301629,0.301629,1.5751,-0.258091,566425,5628505
1,415,444.5,595,415.5,772,2060.5,2518,2419,2800,2989,1302,560,4,0.732188,0.490029,0.732903,0.442062,-0.002536,0.150535,1.481381,0.404437,0.380046,-1.094228,-0.366622,0.366622,1.827123,-0.323822,571290,5620775
1,610,497,570,364,737,2013,2552,2514,2805,2987,1233,635,4,0.760554,0.521533,0.774477,0.494022,-0.001328,0.146882,1.669373,0.404892,0.376895,-1.153327,-0.35568,0.35568,1.878342,-0.319333,573840,5618660
1,652.5,497,602.5,406,855,2665.5,3343.5,3388,3734,2692.5,1519,791.5,4,0.788726,0.552542,0.796321,0.59613,-0.009152,0.217212,2.038797,0.513669,0.517877,-1.107657,-0.331858,0.331858,1.617114,-0.289219,573840,5618575
1,631.5,465.25,573,354.25,776.25,2464.5,3111,3195.5,3450.5,3422.5,1312.5,741.25,4,0.804252,0.569408,0.822774,0.60173,-0.00135,0.210021,2.05906,0.513679,0.519181,-1.146146,-0.341888,0.341888,1.801196,-0.314045,573825,5618615
1,531,503,559,355,717,1936,2391,2291,2576,2257,1021,490.5,4,0.725319,0.482385,0.743287,0.417899,-0.002926,0.132755,1.39396,0.37673,0.344779,-1.11046,-0.369467,0.369467,2.155114,-0.329437,573945,5618595
1,615,562.5,592,393,695,1889,2272,2191,2414,2987,1211,553,4,0.702407,0.456925,0.71718,0.432713,-0.006394,0.119726,1.447554,0.351156,0.320735,-1.074789,-0.369615,0.369615,1.949015,-0.322132,573810,5618685
1,337.5,292.75,399,244.75,625,2407,3049.5,3231.5,3471,3327,1510,632,4,0.831441,0.598601,0.844683,0.58611,0.008405,0.217846,2.002544,0.525805,0.535747,-1.191327,-0.35793,0.35793,1.73022,-0.323834,567765,5625635
1,317,351,458,292,647,2131,2606,2632,2833,2653,1241,524,4,0.829233,0.596273,0.835678,0.515276,0.013733,0.177632,1.746269,0.466464,0.45402,-1.232625,-0.405632,0.405632,1.946115,-0.362004,568025,5625615
1,460,368,528.5,333,736,2188,2771,2795,2989.5,3001,1382,636,4,0.709271,0.464525,0.723761,0.502999,-0.000735,0.156733,1.70185,0.407089,0.385993,-1.1428,-0.34621,0.34621,1.690132,-0.302809,569650,5624580
1,520.5,630,713.5,485.5,794,2214.5,2710,3167,3016.5,2709,1205,560,4,0.724866,0.48188,0.742745,0.538731,0.009207,0.181463,1.831127,0.466667,0.459622,-1.183671,-0.437674,0.437674,1.809499,-0.373687,563635,5603890
1,656.5,543.25,606.5,411,748,1825.5,2278,2285.5,2458.5,2357.5,1031,483.5,4,0.741047,0.499883,0.743763,0.412724,-0.003077,0.130556,1.375235,0.37077,0.336256,-1.102173,-0.398216,0.398216,2.159679,-0.327395,565245,5603360
1,1347.5,808.5,725,550.25,767,1710.5,2275.5,2318.25,2515,2872,924,525,5.5,0.561948,0.309861,0.606629,0.456293,-0.02474,0.10468,1.532868,0.315684,0.284668,-0.950233,-0.402112,0.402112,2.224174,-0.334304,567100,5600230
1,830.5,613.5,690,487,973,2737,3387.5,3592,3617,3954,1582.5,803,4,0.780005,0.542971,0.790915,0.645403,0.005756,0.216187,2.217069,0.504465,0.506092,-1.158053,-0.383176,0.383176,1.47721,-0.343212,567110,5600685
1,579,578,626,438,818,2132,2710,2832,3013,2914,1270.5,571,4,0.730045,0.487549,0.743134,0.535831,-0.002803,0.1571,1.820638,0.424196,0.409953,-1.096234,-0.396859,0.396859,1.943545,-0.327839,565915,5603415
1,604.5,571.75,565.5,364.75,667,1718,2121,2459.5,2348,2664,977,495,4,0.739594,0.498268,0.709379,0.493067,0.000171,0.141778,1.665917,0.395928,0.372572,-1.132313,-0.408047,0.408047,2.256595,-0.337917,565875,5603375
1,790,763.25,842.5,617.75,1201,3061,3634,3583,3887,4535,1920,996.5,4,0.706703,0.461684,0.723306,0.6111,-0.032386,0.187054,2.092958,0.468448,0.462337,-0.996441,-0.289882,0.289882,1.26464,-0.255021,567695,5601965
1,289,328.5,373,250.5,530,1579.5,1912.5,1828,2117,2088,828,363,4,0.762961,0.52393,0.749328,0.364458,0.009745,0.112452,1.20061,0.334343,0.294588,-1.216616,-0.453656,0.453656,2.868332,-0.394607,565540,5600105
1,289.5,333.5,398.5,261,530,1608,2085,2176,2262,2292.5,936,422,4,0.784996,0.548384,0.797821,0.418818,0.004895,0.128091,1.397283,0.367279,0.337335,-1.183776,-0.401363,0.401363,2.387355,-0.355572,565595,5600120
1,732,588,668.5,422.5,794,2105.5,2648,3055,2839,2743,1325.5,655,4,0.675634,0.427212,0.70055,0.569714,-0.021808,0.171059,1.943225,0.444288,0.431363,-1.043869,-0.363448,0.363448,1.744478,-0.317669,558500,5587445
1,683.5,650.5,709,497,897,2439.5,3010,3154,3347,3121,1435,652.5,4,0.734217,0.492287,0.743022,0.584688,0.001601,0.18078,1.9974,0.453169,0.441032,-1.130729,-0.398456,0.398456,1.646357,-0.346428,558870,5588815
1,493,460,516,345,631,1549,1974,1879,2148,2189,895,431,4,0.72354,0.480405,0.721473,0.368194,0.005146,0.113744,1.214126,0.340909,0.300053,-1.152686,-0.434156,0.434156,2.324195,-0.378351,553835,5585190
1,499,474,495,337,629,1663,2032,2194,2233,2326,943.5,415,4,0.734456,0.492547,0.738793,0.424606,-0.000126,0.116919,1.418225,0.344341,0.305944,-1.113454,-0.367198,0.367198,2.29617,-0.331065,559030,5588170
