class,coastal_aerosol,blue,green,red,red_edge1,red_edge2,red_edge3,nir,narrow_nir,water_vapour,swir1,swir2,scl,NDVI,kNDVI,NDVI8a,EVI,TCG_GSO,TCG,LAI,SAVI,MSAVI,BUI,NDBI,NDMI,BAEI,BSI,x_coord,y_coord
1,202,284,432,564,919,1303,1535,1780,1883,1759,1977,1267,4,0.494284,0.239569,0.520898,0.226415,-0.102139,0.076127,0.70117,0.239745,0.205368,-0.409494,0.050354,-0.050354,1.466854,0.104267,586245,5619385
1,193.5,325,545.5,702,1147,1697,1970,2305,2409,2359.5,2068,1359,5.5,0.49864,0.243645,0.531712,0.266206,-0.097661,0.094918,0.845134,0.266618,0.238336,-0.52041,0.001831,-0.001831,1.43974,0.069648,585295,5620640
1,129,210,324.5,375.75,618,847,1084.25,1215,1289.25,1590,1538,1056,7,0.527812,0.271607,0.556844,0.173712,-0.087841,0.049357,0.510491,0.187218,0.150822,-0.389715,0.12078,-0.12078,1.808097,0.149754,562590,5611185
1,192,234,382,508,867,1267,1453,1708,1804,1894,2032,1295,5,0.524788,0.268644,0.549488,0.214436,-0.091115,0.071524,0.657831,0.23243,0.195579,-0.413339,0.075949,-0.075949,1.457627,0.132707,572680,5629220
1,144,286.5,466.25,643,1038.5,1553,1794,2113,2174,2147,2059,1343,4,0.519915,0.263923,0.533588,0.253479,-0.097626,0.094305,0.799086,0.268951,0.236492,-0.525389,-0.006769,0.006769,1.45272,0.065431,585670,5620095
1,251,301.25,469.5,623.5,917,1254,1456,1654,1735.5,1733,1578,1102,5,0.444658,0.195184,0.469121,0.19251,-0.087833,0.063272,0.5785,0.20188,0.170484,-0.437614,0.02799,-0.02799,1.796675,0.089174,576575,5611440
1,152,260.5,408,577.5,973.5,1486,1736,2108,2197,2291,2060,1254,4,0.556829,0.300491,0.582112,0.275033,-0.09338,0.100458,0.87707,0.289961,0.256462,-0.543802,0.002016,-0.002016,1.452112,0.062117,566425,5628505
1,22,131,205.5,270,551,949,1168,1387,1470,1428,1105,659,4,0.659146,0.409054,0.668157,0.221681,-0.039347,0.0762,0.684042,0.242708,0.200608,-0.771964,-0.135302,0.135302,2.384616,-0.063721,560200,5607595
1,147,186,294,386,620,1055,1288,1606,1670,1725,1294,759,4,0.604585,0.350069,0.602955,0.232812,-0.040762,0.084471,0.724316,0.256139,0.217103,-0.725349,-0.128602,0.128602,2.119696,-0.041983,568680,5607275
1,59,62,185.5,161,420,1194,1489,1693,1680,1759,701,354,4,0.832501,0.599942,0.831646,0.309893,0.012077,0.113203,1.003192,0.330939,0.288749,-1.272805,-0.430466,0.430466,3.529978,-0.357623,567575,5607080
1,100,196,305.5,404.5,723.5,1413,1725,2020,2029,2072,1425.5,832.5,4,0.662149,0.412352,0.679017,0.305258,-0.04501,0.113774,0.986424,0.319629,0.282283,-0.802279,-0.165165,0.165165,1.98078,-0.08007,562055,5606120
1,51,150.25,245,252.75,518.5,1205,1417,1595.5,1685.5,1970.5,859,475,4,0.709995,0.465415,0.721421,0.279002,-0.012512,0.091397,0.89143,0.280184,0.237564,-1.00215,-0.256505,0.256505,2.894309,-0.192068,559345,5607475
1,59,124,247,276,561,1191,1388,1616,1700,1874,1082,580,4,0.6702,0.421215,0.690608,0.244931,-0.027117,0.088469,0.76816,0.266756,0.225698,-0.879442,-0.19834,0.19834,2.435338,-0.105413,567250,5605685
1,87,87,217,220,493,1255,1543,1736,1753,1821,849,440,4,0.787052,0.550745,0.79291,0.297758,-0.001437,0.107993,0.95929,0.318712,0.276185,-1.143186,-0.341317,0.341317,3.025234,-0.262023,567690,5607060
1,206,253,408,578,899,1284,1491,1792,1897,2123,1904,1214,4,0.512809,0.257075,0.541577,0.226041,-0.093621,0.08033,0.699818,0.246053,0.211687,-0.501686,0.009474,-0.009474,1.546348,0.082159,568895,5607045
1,43.5,138.5,271.25,342.5,637.5,1454.75,1736.25,2169.5,2034.25,1680.5,943,491.5,4,0.736328,0.49463,0.708798,0.358774,0.004,0.14124,1.180045,0.378146,0.34604,-1.165588,-0.370159,0.370159,2.697188,-0.293253,566965,5606250
1,98,128.5,220.5,281.5,454,968.5,1172,1280,1417.5,1584,881,553,4,0.647928,0.396863,0.681227,0.224441,-0.032852,0.075174,0.694028,0.241195,0.1994,-0.794006,-0.149028,0.149028,2.945696,-0.073113,567475,5605925
