class,coastal_aerosol,blue,green,red,red_edge1,red_edge2,red_edge3,nir,narrow_nir,water_vapour,swir1,swir2,scl,NDVI,kNDVI,NDVI8a,EVI,TCG_GSO,TCG,LAI,SAVI,MSAVI,BUI,NDBI,NDMI,BAEI,BSI,x_coord,y_coord
1,789,520,497,548.5,888,1399,1636.5,1946,2069,2282,1708,1010,4,0.519029,0.265926,0.585118,0.239603,-0.06368,0.075331,0.748884,0.236706,0.198325,-0.596007,-0.084692,0.084692,1.693295,-0.043827,568680,5607275
1,328,228,332,400,675,1108,1328,1464,1429,1491.5,1026,729,7,0.558965,0.302656,0.577788,0.231705,-0.043068,0.073421,0.72031,0.237503,0.198364,-0.766159,-0.149094,0.149094,2.441549,-0.071351,567250,5605685
1,800,758,770.5,763.5,1121,1707,1949,2199,2268,2266,1921,1224,4.75,0.489602,0.238583,0.503185,0.255212,-0.094375,0.068496,0.805359,0.224942,0.195483,-0.569648,-0.072175,0.072175,1.387721,-0.037007,560200,5607595
1,509,352,479,565.5,947.5,1628,1902,1989,2125.5,2112.5,1424,1087,5,0.553955,0.29929,0.594863,0.286414,-0.066466,0.091184,0.918246,0.276272,0.242346,-0.697405,-0.169898,0.169898,1.821836,-0.104037,567690,5607060
1,735,532.5,593.5,576,877.5,1451,1729,1782.75,1909,1947,1199,888,4,0.510898,0.255246,0.535403,0.276211,-0.05704,0.080579,0.881331,0.256084,0.227922,-0.709416,-0.198185,0.198185,2.005055,-0.134679,567575,5607080
1,447.5,385.75,457.5,495.25,787,1339.5,1564,1717.25,1843.5,1845.5,1253.5,793.25,5.5,0.546394,0.289982,0.572954,0.27171,-0.054708,0.087794,0.865046,0.267511,0.231237,-0.686213,-0.143163,0.143163,2.127729,-0.083859,562055,5606120
1,381.5,525,606.5,513.25,785.5,1394,1776,2010,2167,2291.5,1207.25,744.25,5.5,0.590364,0.345229,0.619945,0.335092,-0.04379,0.081724,1.094362,0.267238,0.234572,-0.784143,-0.229383,0.229383,2.233656,-0.187289,559345,5607475
1,395,545,600,813,1182,1785,2025,2338,2551,2692,2245,1455,4,0.479134,0.225619,0.5031,0.305393,-0.11103,0.094833,0.986913,0.283006,0.257435,-0.47056,-0.000627,0.000627,1.331363,0.030007,568895,5607045
1,96,242.25,322.25,379.75,745,1468.5,1717,2024.75,2042,1717,1132.5,630,4,0.685847,0.439056,0.685182,0.343759,-0.016063,0.124175,1.125719,0.343581,0.310256,-0.97955,-0.283441,0.283441,2.286058,-0.212272,566965,5606250
1,479,508.5,475.5,586.5,963,1722.5,2111.5,2302,2560,2552,1638,1088.5,4,0.602476,0.347836,0.627175,0.312187,-0.06252,0.081689,1.011492,0.262633,0.232128,-0.686259,-0.074894,0.074894,1.671196,-0.034486,567475,5605925
1,580,561,602,761,1180,1516,1881,2046,2197,2325,2501,1536,5,0.454731,0.203883,0.488628,0.25576,-0.12728,0.072713,0.807339,0.23596,0.208425,-0.353649,0.051945,-0.051945,1.205003,0.082769,572680,5629220
1,387.5,380,473,586,900,1330,1543.5,1740,1927.5,1867,1776,1110,4,0.468897,0.216483,0.518782,0.231611,-0.095798,0.067775,0.719967,0.22196,0.187811,-0.434878,0.019255,-0.019255,1.601527,0.063519,586245,5619385
1,929,727.5,802,894,1376,1926,2209,2407,2543,2561,2011,1279,5,0.450025,0.200306,0.474538,0.285256,-0.103029,0.079245,0.914054,0.249178,0.216643,-0.481783,-0.026545,0.026545,1.409317,0.002421,585670,5620095
1,1173,946,1070.75,1032.75,1409,2131.5,2307,2479.25,2663.5,2946,2562,1855.5,5,0.436661,0.193014,0.473166,0.320342,-0.157342,0.074916,1.040999,0.248484,0.223358,-0.392321,0.051161,-0.051161,1.248374,0.06176,562590,5611185
1,639.75,646.25,690.25,849.25,1328.5,1943.5,2196.5,2480.5,2701.5,2660,2511.5,1541.5,4.5,0.45674,0.206164,0.487786,0.313296,-0.130748,0.086373,1.015503,0.257212,0.233354,-0.400177,-0.004895,0.004895,1.223844,0.034651,585295,5620640
1,217,328.5,489.5,656,959,1262,1431,1637.5,1723,1720,1937,1246.5,5,0.429598,0.182488,0.457238,0.186354,-0.108452,0.059605,0.55623,0.199388,0.168495,-0.345301,0.084564,-0.084564,1.511253,0.133604,576575,5611440
1,549.25,566.5,569.25,629,987,1403,1632.5,1911,1999,2117,1820,1189.5,5.5,0.506715,0.251534,0.523553,0.261241,-0.087387,0.082228,0.827171,0.256949,0.222018,-0.533855,-0.05299,0.05299,1.545369,-0.015336,566425,5628505
1,126,166.5,318.5,308,630,1158,1364,1390,1557,1633,1134,647,4,0.637458,0.385635,0.670055,0.225762,-0.041271,0.074186,0.698806,0.242331,0.20097,-0.73886,-0.101402,0.101402,2.280079,-0.038247,571290,5620775
1,122,178,288,293,592,1091,1288,1416,1427,1554,1032,623,4,0.652214,0.401456,0.654888,0.22044,-0.035267,0.06909,0.67955,0.231211,0.191655,-0.799394,-0.146755,0.146755,2.415068,-0.076484,573840,5618660
1,122,294.5,442.5,453.5,693,1171,1336,1600,1494,1554,1463,894,4,0.542858,0.286471,0.569308,0.229699,-0.067857,0.073684,0.713052,0.239042,0.203128,-0.583122,-0.024603,0.024603,1.865702,0.01811,573840,5618575
1,195,287,416,469.5,821,1261,1427.5,1644,1713.5,1685,1660,1032,4,0.532544,0.276237,0.561148,0.226128,-0.080919,0.073498,0.700131,0.236856,0.201504,-0.513992,0.022629,-0.022629,1.702718,0.072858,573825,5618615
1,73,156,267,250,549,1050,1240,1342,1426,1340,869,516,4,0.657234,0.406956,0.683137,0.224706,-0.022505,0.073192,0.694986,0.236581,0.195199,-0.876226,-0.214232,0.214232,2.856388,-0.144936,573945,5618595
1,179,208.5,347,344,601,1217,1368,1565.5,1585,1670,1145,679,4,0.655527,0.40561,0.64576,0.231466,-0.039452,0.077788,0.719445,0.246638,0.206286,-0.785552,-0.099524,0.099524,2.242143,-0.043872,573810,5618685
1,310,422.5,469,626.5,952,1400,1597,1855.5,1917,2012,1751,1169.25,4,0.493764,0.239084,0.516093,0.244678,-0.08714,0.07737,0.767245,0.241642,0.208149,-0.549779,-0.046769,0.046769,1.613908,0.009674,567765,5625635
1,249,332,322,382,757,1199,1420,1542,1663,1838,1254,921,4,0.56456,0.308357,0.62768,0.229703,-0.068379,0.066601,0.713066,0.215516,0.179121,-0.590852,-0.061928,0.061928,2.001815,-0.00858,568025,5625615
1,707,851,898.25,1008,1695,2346,2538,2417,2744,2606,2369,2106,5,0.379621,0.143147,0.439978,0.295756,-0.162588,0.067485,0.952046,0.240285,0.215176,-0.455096,-0.071366,0.071366,1.163568,-0.020887,569650,5624580
1,743,724.5,831.5,982.5,1388.5,1885,2085.5,2073,2362.5,2235.5,1937,1588,5.5,0.415462,0.197051,0.448739,0.238381,-0.12099,0.064586,0.744461,0.223535,0.195308,-0.475215,-0.067041,0.067041,1.553635,-0.014286,563635,5603890
1,369,444.75,458,413.75,776,1424.5,1651,1716,1880.5,1664.5,1259.5,719,4,0.624822,0.372699,0.627358,0.313582,-0.034457,0.092572,1.01654,0.286025,0.245853,-0.863826,-0.272382,0.272382,2.093728,-0.187574,565245,5603360
1,259.5,264.5,359.25,309.5,620,1376,1744,1943.5,1936.25,2079,907.25,522.5,4,0.734285,0.492295,0.713437,0.344988,-0.011534,0.113936,1.130166,0.338826,0.300508,-1.031251,-0.332427,0.332427,2.578351,-0.249555,567100,5600230
1,375,414,522.5,500,845.5,1561,1831,1974,2098,2140.5,1448,907.5,4,0.597051,0.342414,0.61789,0.307216,-0.05732,0.099083,0.993507,0.292786,0.256048,-0.725854,-0.145016,0.145016,1.777662,-0.090284,567110,5600685
1,622,622,670,650,1061,1746,1994,2254,2343,2313,1704,971,4,0.541961,0.285557,0.556043,0.308182,-0.066042,0.087838,0.997002,0.2672,0.229024,-0.699504,-0.137541,0.137541,1.544885,-0.078788,565915,5603415
1,390.5,428.25,505.5,497.5,828,1479.75,1742,1889.5,2000.25,2052.5,1334.75,801.5,4,0.577221,0.32252,0.598103,0.289801,-0.050511,0.089187,0.930501,0.271597,0.234432,-0.744816,-0.177679,0.177679,2.029373,-0.112122,565875,5603375
1,462.5,483,586.25,591,965.5,1681,1957.5,1927.5,2178,2640,1850.5,1067,4,0.550805,0.295091,0.588645,0.293856,-0.085774,0.083909,0.94517,0.264567,0.234251,-0.575983,-0.038041,0.038041,1.520151,0.000912,567695,5601965
1,54,134,218,221,448,1024,1311,1422,1517,1316,644,341,4,0.73098,0.488685,0.741557,0.255684,-0.000216,0.088765,0.807066,0.271188,0.227205,-1.108495,-0.376573,0.376573,3.736659,-0.285419,565540,5600105
1,285,260.5,330.5,278,511,1154.5,1387,1534,1537.5,1673.5,760.5,411,4,0.712402,0.468237,0.71711,0.274919,-0.008989,0.08839,0.876658,0.27339,0.232285,-1.015144,-0.316111,0.316111,3.100319,-0.252088,565595,5600120
1,408,526,617,617,1019,1683,1896,1998,2254,2102,1706,991,4,0.557522,0.301193,0.574482,0.317193,-0.071769,0.095974,1.029606,0.286913,0.252433,-0.677066,-0.121976,0.121976,1.54383,-0.070897,558500,5587445
1,327,262.5,322.5,222,501.5,1253.5,1487.5,1509.5,1690,1706.5,669.5,341,4,0.748636,0.507489,0.76922,0.293525,-0.000742,0.090693,0.943975,0.284846,0.241473,-1.127126,-0.387297,0.387297,3.258342,-0.323588,553835,5585190
1,434,548,611,579,924,1700,1917,2058,2203,2080,1330,747,4,0.579215,0.323445,0.591137,0.342668,-0.046955,0.097807,1.121772,0.294727,0.260031,-0.776853,-0.212789,0.212789,1.797015,-0.152302,558870,5588815
1,348.5,350.75,404.5,397.75,679,1257,1414,1588.25,1661,1709.5,1063.5,611.5,4,0.609618,0.356794,0.619747,0.2625,-0.035232,0.080521,0.831726,0.252997,0.214454,-0.797974,-0.190342,0.190342,2.388511,-0.134398,558905,5590080
1,308,413,471.5,407,677,1352,1549.5,1672,1755.5,1655,961,492,4,0.619512,0.365999,0.63091,0.285176,-0.02693,0.081256,0.913766,0.262304,0.221083,-0.860041,-0.245459,0.245459,2.337398,-0.185152,559030,5588170
1,257,376,405,450,873,1550,1794.5,1759,2032,2243,1801,1074,4,0.598786,0.344155,0.633983,0.310944,-0.078471,0.094019,1.006994,0.290635,0.257125,-0.668863,-0.066401,0.066401,1.570042,-0.03656,560050,5595990
1,616,565,657,702,1071,1500,1642,1864,1969,2104,1772,1153,4,0.479365,0.227106,0.50185,0.24052,-0.097663,0.078641,0.752202,0.241734,0.208134,-0.497901,-0.050454,0.050454,1.568985,-0.011103,556470,5597435
1,397.5,529.5,681.75,883.75,1169,1513,1714.5,1867.5,2031,1936,2486.5,1725.5,5,0.374418,0.13985,0.4047,0.189769,-0.156578,0.053128,0.568586,0.19355,0.164463,-0.235344,0.135574,-0.135574,1.220312,0.162784,563315,5596735
1,395.75,391.75,489.5,505.5,831,1334.25,1542.25,1688,1833.75,1892,1494.75,918,4,0.535256,0.278963,0.563739,0.247617,-0.071302,0.075007,0.777879,0.245561,0.209586,-0.582752,-0.052527,0.052527,1.815924,-0.001088,559910,5596115
1,446,506.5,598,575.5,948,1566.5,1851,2032,2118.5,2325,1580,878,4,0.566836,0.310685,0.591102,0.315679,-0.060952,0.09524,1.024126,0.28453,0.247949,-0.69951,-0.135008,0.135008,1.633446,-0.080544,558475,5587505
1,449.5,382,508,523,942.5,1556.5,1828.5,1964,2100,2106,1645,1077,4,0.59604,0.34181,0.625399,0.289092,-0.068661,0.09134,0.927935,0.281004,0.244442,-0.649156,-0.093257,0.093257,1.632603,-0.03443,558260,5591635
1,341,456.5,572.5,637,967,1420.5,1582,1798,1860,1940,1885,1266,5,0.472444,0.219569,0.503207,0.232329,-0.104681,0.069231,0.722568,0.227882,0.197308,-0.490011,-0.020656,0.020656,1.457797,0.034939,585745,5600360
1,594,463.5,557,602.5,983.5,1558,1821,1930.25,2151,2249,1895.5,1174.5,4,0.528429,0.272456,0.570721,0.273237,-0.089614,0.082881,0.870573,0.257812,0.23181,-0.520718,-0.002721,0.002721,1.491953,0.028787,558960,5591085
1,266,420,510.25,529,882,1512,1739,1899.5,1996,1950.5,1557,908,4,0.567216,0.311081,0.584439,0.286139,-0.064666,0.089432,0.917252,0.275941,0.239078,-0.666706,-0.102418,0.102418,1.700829,-0.050437,590245,5595720
1,455,455,524,554,885,1396,1598,1777.5,1884,1946,1577.5,971,4,0.539964,0.283572,0.557014,0.256924,-0.069,0.078112,0.811551,0.255612,0.216835,-0.63029,-0.071408,0.071408,1.707258,-0.028049,590525,5595645
1,154.5,319,418.5,458.5,735.5,1223,1404,1607,1647,1673.5,1537,957,4,0.545213,0.288804,0.567076,0.229945,-0.072545,0.066338,0.713943,0.224266,0.189641,-0.564416,-0.022019,0.022019,1.755137,0.011155,589470,5598365
1,407,419.5,508,532,850.5,1353.5,1556,1705,1738,1796,1425.5,966.5,4,0.532681,0.276371,0.550173,0.240364,-0.07117,0.074875,0.751639,0.24505,0.206271,-0.594877,-0.074687,0.074687,1.741045,-0.023844,590375,5595735
1,265.5,350,447,538,848,1235,1432.5,1610.5,1685.5,1752.5,1743,1123,4.5,0.492687,0.238117,0.516567,0.217542,-0.090148,0.066202,0.669068,0.223079,0.187782,-0.468891,0.026379,-0.026379,1.640817,0.072149,585435,5599930
1,299,396.5,520.5,628,980.5,1496.5,1685.5,1917,2047.5,2035.5,2123.5,1396,4.5,0.506662,0.252167,0.534056,0.251305,-0.11126,0.080614,0.791221,0.254358,0.220011,-0.471475,0.035187,-0.035187,1.408076,0.084056,585455,5600045
1,324,284,416.75,483.25,739.25,1163,1290.5,1455.5,1416.5,1614.5,1261,921.5,5.5,0.484231,0.233185,0.543687,0.194346,-0.071924,0.057614,0.585144,0.1854,0.152851,-0.525062,-0.053401,0.053401,1.952293,0.037,591320,5595820
1,455,401.5,478.5,520.5,831.5,1305,1498,1655,1780,1882,1574.5,949,4,0.528711,0.272475,0.550764,0.248802,-0.076589,0.070797,0.782165,0.234149,0.199669,-0.543991,-0.017911,0.017911,1.712759,0.016867,590490,5595710
1,254.5,374,486,586,913,1349.25,1547.25,1758.25,1830.5,1832,1735,1164,4,0.500821,0.245829,0.534673,0.231209,-0.087806,0.07641,0.718515,0.239707,0.204494,-0.516668,-0.01786,0.01786,1.643457,0.042321,585495,5599865
1,394,466,553,613,981,1408,1636,1838,1923,1994,1748,1039,4,0.505703,0.250303,0.531573,0.259205,-0.086303,0.07885,0.819805,0.248728,0.213626,-0.527281,-0.019024,0.019024,1.569468,0.015702,560630,5588020
1,382,442,512,571,900,1453,1652.5,1850,1916,1998.5,1565,965,4,0.533747,0.277421,0.552071,0.269708,-0.070455,0.084362,0.857803,0.261998,0.226272,-0.619921,-0.074271,0.074271,1.710138,-0.024477,590740,5595500
1,291,439,530,585,939,1459,1668,1828,1923,2025,1695,1034,4,0.514489,0.258686,0.531122,0.251927,-0.084076,0.079268,0.793473,0.248484,0.212037,-0.534107,-0.020057,0.020057,1.601611,0.02066,589945,5595620
1,304.5,314.5,430.5,448,815.5,1413.5,1638.5,1761.5,1916,1893.5,1485.5,927,4,0.590306,0.336401,0.624396,0.265641,-0.063168,0.085922,0.843091,0.267672,0.230475,-0.677934,-0.075942,0.075942,1.836029,-0.02457,590960,5595240
