class,coastal_aerosol,blue,green,red,red_edge1,red_edge2,red_edge3,nir,narrow_nir,water_vapour,swir1,swir2,scl,NDVI,kNDVI,NDVI8a,EVI,TCG_GSO,TCG,LAI,SAVI,MSAVI,BUI,NDBI,NDMI,BAEI,BSI,x_coord,y_coord
1,23,121,333.5,256.5,824,2083,2469,2514.5,2894,2445,1355,602,4,0.813247,0.57927,0.828659,0.454515,0.006909,0.170257,1.526437,0.449453,0.431465,-1.177065,-0.359697,0.359697,1.91578,-0.305184,560200,5607595
1,73,135,361,224,680,2015,2473,2790,2670,3090,1095,512,4,0.849237,0.617655,0.854283,0.47812,0.023218,0.18731,1.611838,0.473144,0.463657,-1.295027,-0.431862,0.431862,2.151171,-0.381268,568680,5607275
1,32,138,419.5,325.5,877,2388,2746,2944,3223,3197,1441,622,4,0.799815,0.564698,0.810499,0.507584,0.006979,0.198171,1.718439,0.491732,0.48883,-1.16074,-0.365031,0.365031,1.782282,-0.314024,562055,5606120
1,74,105,335,213,628,1973,2399,2486,2768,2467,1119,482,4,0.85808,0.626905,0.861687,0.44289,0.023312,0.168989,1.484378,0.441905,0.421453,-1.309351,-0.439326,0.439326,2.214092,-0.397023,567250,5605685
1,30,121.5,284.5,210.5,614,1823.5,2190.5,2427,2528,2483,909,418,4,0.840225,0.608148,0.857535,0.433398,0.024005,0.164755,1.450034,0.435366,0.413243,-1.289648,-0.469082,0.469082,2.675075,-0.404702,559345,5607475
1,129,88.5,276.5,181.5,498,1554,1961,2117,2190,2199,696,321,4,0.843995,0.612135,0.851262,0.388095,0.023071,0.144376,1.286128,0.39798,0.36656,-1.338658,-0.484164,0.484164,3.176201,-0.430385,567575,5607080
1,100,99,301,198,546,1740,2148,2308,2408,2471,837,371,4,0.844881,0.613069,0.850553,0.410514,0.018951,0.154715,1.367239,0.415014,0.387595,-1.305858,-0.442264,0.442264,2.757009,-0.397524,567690,5607060
1,98,110,363,228,735,2167,2558,2664,2997,3027,1260,536,4,0.847428,0.615753,0.851495,0.454001,0.017315,0.17833,1.524575,0.457331,0.442679,-1.253801,-0.406583,0.406583,1.976392,-0.3488,568895,5607045
1,75,126,389.5,331,779,1980.5,2401,2569,2582,2293,1138,529,4,0.791889,0.556028,0.783857,0.441929,0.01347,0.159254,1.480901,0.430583,0.406617,-1.202482,-0.429163,0.429163,2.129157,-0.335978,566965,5606250
1,46,130.25,374.25,307.5,749.5,1713,2104,2469,2340.5,2610.5,1115,528,4,0.790589,0.554073,0.803824,0.41035,-0.003158,0.159796,1.366646,0.420265,0.396475,-1.116498,-0.323982,0.323982,2.194785,-0.250582,567475,5605925
1,54,182,566,463,1033,1985,2305,2483,2704.5,2785,1569,758,4,0.696911,0.450785,0.705837,0.407575,-0.032475,0.139061,1.356605,0.380158,0.352212,-0.918138,-0.224464,0.224464,1.631402,-0.132503,562590,5611185
1,133,183,447,372,873,1977,2340,2558,2689,2660,1496,695,4,0.737921,0.496408,0.750267,0.408044,-0.026008,0.155375,1.358304,0.409747,0.387076,-0.981851,-0.249164,0.249164,1.779503,-0.183973,586245,5619385
1,76,153,382,261.5,793,2053,2599.5,2736.5,2865,2742,1184,556,4,0.824209,0.591077,0.826505,0.457376,0.011681,0.180416,1.536787,0.457295,0.442775,-1.224549,-0.395309,0.395309,2.076984,-0.337005,585670,5620095
1,187,179,413,279,769,2208,2683,2780,2908,2850,1423,746,4,0.814949,0.581113,0.816628,0.474984,-0.006959,0.179171,1.600492,0.463,0.450612,-1.124368,-0.306122,0.306122,1.823857,-0.259818,572680,5629220
1,128,178.5,433,375,888.5,1715,1990,2131,2309,2382,1384.5,735,4,0.696829,0.450694,0.707956,0.318659,-0.031911,0.120145,1.034908,0.336973,0.302159,-0.901127,-0.208563,0.208563,1.850459,-0.128122,576575,5611440
