class,coastal_aerosol,blue,green,red,red_edge1,red_edge2,red_edge3,nir,narrow_nir,water_vapour,swir1,swir2,scl,NDVI,kNDVI,NDVI8a,EVI,TCG_GSO,TCG,LAI,SAVI,MSAVI,BUI,NDBI,NDMI,BAEI,BSI,x_coord,y_coord
1,253,233,391,238.5,656,2264.5,2854,2970,3154.5,2731,1064,475,4,0.857948,0.626763,0.837353,0.548531,0.029189,0.203408,1.866587,0.50263,0.50366,-1.294886,-0.455925,0.455925,2.197296,-0.417408,559345,5607475
1,184,243.5,349,201.5,592,2623,3425,3666,3758,3661,1462,612,4,0.890043,0.65964,0.893755,0.654511,0.035727,0.263007,2.25002,0.595231,0.642007,-1.319788,-0.432013,0.432013,1.766409,-0.40149,562055,5606120
1,222,235,376,243,677,2429,3095,3226,3339,2959,1355,579,4,0.856955,0.625733,0.863807,0.585741,0.02353,0.218194,2.001211,0.522649,0.53252,-1.28559,-0.423182,0.423182,1.851412,-0.386671,567250,5605685
1,307.5,295.5,396.25,255,691,2479.5,3129,3198.75,3480.5,2861,1480.5,666.5,4,0.851579,0.620109,0.867147,0.585907,0.015117,0.213808,2.001811,0.515361,0.521278,-1.242831,-0.375609,0.375609,1.734214,-0.347154,560200,5607595
1,247,268,417,240,656,2253,2831,2900,3098,3120,1237,549,4,0.848297,0.616667,0.859935,0.52583,0.018681,0.194525,1.784451,0.487423,0.48268,-1.253941,-0.425442,0.425442,1.988422,-0.386084,567690,5607060
1,230,266.5,412,239,650,2143,2649.5,2822,2880,2845,1131.5,502,4,0.84378,0.611907,0.853505,0.52172,0.019844,0.181935,1.769584,0.466627,0.455055,-1.263472,-0.44054,0.44054,2.130397,-0.397173,567575,5607080
1,255.5,265,390.5,256.5,669,2465,3315,3360,3616,3811.5,1544.5,690.5,4,0.858967,0.627796,0.872123,0.603449,0.014715,0.230713,2.065277,0.543092,0.557457,-1.228387,-0.37105,0.37105,1.670188,-0.339634,568680,5607275
1,293,288,434,266,704.5,2670,3498,3452,3830,3825.5,1650.5,722,4,0.857571,0.626375,0.864044,0.590836,0.011717,0.232276,2.019643,0.550417,0.573461,-1.224732,-0.36997,0.36997,1.583791,-0.334434,568895,5607045
1,261,235,385,245,724,2390,2944,3228,3140,3134,1236,603,4,0.850834,0.61933,0.856076,0.575689,0.013934,0.221565,1.964843,0.530013,0.541943,-1.231001,-0.394615,0.394615,1.955982,-0.35773,566965,5606250
1,217,259.25,388,229,637.5,2294,2996.5,3163.25,3291.5,3393,1324.5,603,4,0.867714,0.636891,0.876368,0.578246,0.023424,0.220361,1.974096,0.532449,0.54545,-1.285679,-0.434642,0.434642,1.815121,-0.396702,567475,5605925
1,371,365,547,316,868,2880,3631,3764,4053,3155.5,1790,850,4,0.850114,0.618575,0.857566,0.655735,0.009992,0.253508,2.254448,0.577691,0.607939,-1.21265,-0.3655,0.3655,1.437704,-0.333441,573840,5618575
1,249.5,243,404,301,728,2323.5,2893,3009,3199,3159.5,1639,851,4,0.809071,0.574755,0.822498,0.506418,-0.023349,0.192212,1.714221,0.479867,0.472777,-1.043529,-0.244848,0.244848,1.613254,-0.208996,586245,5619385
1,313,274,509,343,874,2714,3343,3698,3655,3928,1928,901,4,0.836825,0.604543,0.847878,0.642717,0.004111,0.254786,2.207349,0.574138,0.601754,-1.190339,-0.344939,0.344939,1.367455,-0.307605,572680,5629220
1,355,361.25,550,466.75,978,2368,2863,3038.25,3237,3203,2009,1054,4,0.733854,0.491883,0.749213,0.497713,-0.042834,0.173646,1.682724,0.442601,0.426913,-0.933723,-0.231732,0.231732,1.326821,-0.185365,585295,5620640
1,286,344,510,293,770,2276,2831,2978,3123,3123,1439,673,4,0.823802,0.590641,0.832746,0.545088,0.00473,0.193549,1.854129,0.497576,0.496678,-1.183828,-0.375024,0.375024,1.710593,-0.33524,573840,5618660
1,244,254.5,439.5,269,802,2636.5,3251,3391,3590,3617,1717,760,4,0.855694,0.624417,0.863916,0.607674,0.010996,0.235308,2.080565,0.55763,0.581598,-1.209263,-0.362653,0.362653,1.503682,-0.334432,576575,5611440
1,193.5,238.25,390.5,248.5,688.5,2471,3093,3203.5,3341,3539,1305.75,671.25,4,0.857495,0.62617,0.862525,0.577887,0.011639,0.219483,1.972795,0.526533,0.536752,-1.217536,-0.400104,0.400104,1.756413,-0.340863,585670,5620095
1,319,338.25,568.25,293.5,888,3414,4293,4564,4682.5,4602.5,1914.25,799.75,4,0.888321,0.657907,0.889174,0.771839,0.03423,0.303279,2.674514,0.628626,0.680417,-1.292745,-0.422488,0.422488,1.340681,-0.392598,562590,5611185
1,191,251,429.75,288.5,693.25,2166,2622.5,2832.75,2936,3152,1331.5,609,4,0.822896,0.589657,0.835245,0.509331,-0.000971,0.190057,1.724759,0.4816,0.475128,-1.144492,-0.340671,0.340671,1.855925,-0.305693,571290,5620775
1,240,272,396,256.75,661,2433,3140,3254,3470,3511,1544,679.5,4,0.849242,0.617557,0.856942,0.576858,0.012114,0.215156,1.969071,0.516161,0.521774,-1.221829,-0.376052,0.376052,1.68594,-0.336928,566425,5628505
1,328,355.5,548,308.5,840.5,2927,3699,3772.5,4043,3968,1709,773,4,0.850427,0.618904,0.859712,0.668884,0.018475,0.259466,2.302023,0.586028,0.620371,-1.235395,-0.386485,0.386485,1.465983,-0.350971,573825,5618615
1,304,365,549,331,843.5,2446,2955.5,2964,3278.5,2677,1445,686,4,0.793409,0.557707,0.80187,0.521151,0.001423,0.169575,1.767523,0.447203,0.428235,-1.160324,-0.365353,0.365353,1.670352,-0.32219,573945,5618595
1,259,304.5,428.5,263.5,627,1673,2185,2173,2372,3123,1043,502,4,0.778854,0.541691,0.803359,0.420872,-0.002473,0.139228,1.404715,0.39347,0.363415,-1.12407,-0.363533,0.363533,2.212916,-0.316923,573810,5618685
1,208,239,401,239.5,704.5,2779,3538,3698,3917,3722,1758,738,4,0.877244,0.646672,0.881573,0.645509,0.02144,0.256151,2.217452,0.583161,0.620517,-1.253083,-0.381414,0.381414,1.476375,-0.356095,567765,5625635
1,201,232,376,221,634,2454,2969,3140,3275,2989,1387,600,4,0.868258,0.637453,0.873034,0.575258,0.024746,0.217517,1.963285,0.532292,0.544717,-1.279094,-0.411035,0.411035,1.771397,-0.384393,568025,5625615
1,269,252.5,377,240,568,2415.5,3220,3409,3462,3128,1388,615.5,4,0.845258,0.613466,0.854098,0.594848,0.011998,0.231823,2.034159,0.541235,0.557016,-1.213713,-0.365408,0.365408,1.840001,-0.339796,569650,5624580
1,320,321,489,322.5,775.5,2704.5,3493.5,3499.5,3824,3377.5,1498.5,676,4,0.829889,0.597079,0.855567,0.60477,0.013028,0.222373,2.070059,0.529787,0.540607,-1.227006,-0.394735,0.394735,1.695407,-0.354875,563635,5603890
1,355.5,387.75,484.75,328.75,686,2027,2565,2791,2699,2443.5,1187.5,574.5,4,0.793127,0.557397,0.792068,0.525184,-0.001556,0.178811,1.782117,0.461701,0.44909,-1.135064,-0.358479,0.358479,2.01841,-0.309077,565245,5603360
1,227,204.75,337,218.5,624,1989.75,2592,2738,2846,3140,1120.5,514,4,0.844139,0.612284,0.853403,0.505582,0.020201,0.181416,1.711195,0.471814,0.461263,-1.261317,-0.450155,0.450155,2.255738,-0.416257,567100,5600230
1,369,326,518,332.5,865,2651.5,3306,3566,3573,3784.5,1698,875.5,4,0.844406,0.612121,0.855311,0.624508,0.014096,0.2398,2.14147,0.550933,0.568927,-1.224117,-0.371086,0.371086,1.478382,-0.333562,567110,5600685
1,375.5,378,485.5,312.5,750.5,2641,3427.5,3427,3711,3743,1568,691.5,4,0.835945,0.603583,0.845517,0.583198,0.011111,0.223607,1.992009,0.522168,0.53081,-1.208647,-0.36015,0.36015,1.610214,-0.327249,565915,5603415
1,267,310,449.75,286.5,737,2489,3203,3339,3595,3601,1519,655,4,0.832311,0.59974,0.845284,0.59091,0.012798,0.219816,2.019913,0.511923,0.515713,-1.201391,-0.374886,0.374886,1.667901,-0.339741,565875,5603375
1,325.5,253.25,433.75,273,809,2370.5,3041,3087,3332,3439,1774.5,902.5,4,0.845194,0.613308,0.853457,0.54134,-0.012632,0.201472,1.840566,0.507062,0.509828,-1.113954,-0.283575,0.283575,1.497994,-0.244642,567695,5601965
1,327.5,260,414.5,286.5,640,1901.5,2444,2584,2594,2792,1115,516,4,0.776657,0.539243,0.774571,0.47574,0.006692,0.164536,1.603227,0.428936,0.409196,-1.173882,-0.400246,0.400246,2.138305,-0.346644,565540,5600105
1,357.5,309,419.5,273,632.5,1996,2444,2576,2722.5,2839.5,1261.5,591,4,0.801123,0.565978,0.811715,0.47457,0.003439,0.165907,1.598993,0.439731,0.42008,-1.168826,-0.361647,0.361647,1.94409,-0.326453,565595,5600120
1,204,253.5,447,284,748,2581.5,3223,3432,3539,3257,1682,763,4,0.842378,0.610426,0.848205,0.584756,0.011515,0.227621,1.997649,0.53154,0.542075,-1.218658,-0.378102,0.378102,1.531716,-0.325442,558500,5587445
1,226,233.5,372.5,231,601,1688.5,2091,2204,2307.5,2379,1001,489,4,0.808673,0.574218,0.819095,0.41349,0.005538,0.136039,1.378005,0.390436,0.357869,-1.198816,-0.3769,0.3769,2.363916,-0.329157,553835,5585190
1,288,301,501,324,777,2538,3113,3259,3323.5,3625,1458,649,4,0.823827,0.590571,0.824461,0.551115,0.012309,0.194065,1.875933,0.487208,0.482582,-1.198616,-0.384071,0.384071,1.707023,-0.333597,558870,5588815
1,229,283.5,459.5,287,730.5,2306.5,2819,3029.25,3071.25,2886.25,1385.5,669,4,0.822749,0.589425,0.829738,0.533724,0.004317,0.197473,1.813014,0.485963,0.481024,-1.178743,-0.364431,0.364431,1.777197,-0.321498,558905,5590080
1,178,199,336,214,564,1828.5,2231.5,2393,2457,2466,1148,518,4,0.835518,0.603155,0.839692,0.433778,0.006774,0.15424,1.451409,0.403917,0.374588,-1.202669,-0.359675,0.359675,2.156104,-0.329012,559030,5588170
1,234,244,413,268,714,2421,3015,3062,3294,3399,1674,757,4,0.828021,0.59516,0.841649,0.539375,-0.003908,0.204068,1.833459,0.497564,0.496888,-1.144801,-0.307467,0.307467,1.561606,-0.26492,558475,5587505
1,273,227,377.5,246,673,2601,3360,3468,3685,3568,1612,710,4,0.861381,0.630336,0.872967,0.603253,0.013631,0.233065,2.064568,0.545796,0.565026,-1.222,-0.361244,0.361244,1.608682,-0.331705,556470,5597435
