class,coastal_aerosol,blue,green,red,red_edge1,red_edge2,red_edge3,nir,narrow_nir,water_vapour,swir1,swir2,scl,NDVI,kNDVI,NDVI8a,EVI,TCG_GSO,TCG,LAI,SAVI,MSAVI,BUI,NDBI,NDMI,BAEI,BSI,x_coord,y_coord
1,528.5,494.5,652.5,443,920.5,1940,2230,2452,2431.5,2354,1231,695.5,4,0.687559,0.442547,0.688846,0.429679,-0.022962,0.135369,1.436579,0.378116,0.354162,-0.994174,-0.306615,0.306615,1.834832,-0.260005,568025,5625615
1,276,329,578,326,985,2427,2853.5,3101,3149.5,2930,1550.5,767,4,0.806715,0.572201,0.809085,0.547202,-0.002537,0.194609,1.861778,0.488944,0.485243,-1.146991,-0.342196,0.342196,1.561468,-0.296478,569650,5624580
1,223,303.5,524,255,950,3078,3699,3831.5,4059.5,3451.5,1396,640.5,4,0.880677,0.650167,0.87337,0.678444,0.042692,0.263129,2.336611,0.589808,0.627189,-1.356127,-0.4739,0.4739,1.715968,-0.438199,563635,5603890
1,291,275.5,340.5,193,534,1508,1826,2104,2015,1848,832,426,4,0.808751,0.574388,0.803558,0.418811,0.009906,0.137829,1.397257,0.38271,0.3551,-1.241155,-0.415302,0.415302,2.777112,-0.372254,565245,5603360
1,324,303.5,425,243.5,671,1902,2431,2368,2524,2933.5,854,411,4,0.78322,0.545726,0.789307,0.416134,0.01522,0.137548,1.387572,0.37728,0.354531,-1.270772,-0.497658,0.497658,2.491419,-0.437005,567100,5600230
1,475,419,622,361,970,2593,3049,3282,3401,3390,1546,747,4,0.662016,0.412737,0.65798,0.559731,0.001462,0.178451,1.907106,0.423379,0.413834,-1.17498,-0.392958,0.392958,1.570482,-0.343666,567110,5600685
1,350.5,401.5,549,344,858,2615,3134.5,3329,3421,3482,1359,641.5,4,0.793064,0.556198,0.798623,0.592255,0.007738,0.212942,2.024779,0.507428,0.509826,-1.187062,-0.398476,0.398476,1.795029,-0.347002,565915,5603415
1,413.5,438,577.25,369,882.75,2421.5,2883.5,3099,3149,3142.5,1302.5,694,4,0.781333,0.543362,0.781011,0.56761,0.005197,0.197582,1.935614,0.480304,0.476119,-1.182356,-0.39558,0.39558,1.787529,-0.347552,565875,5603375
1,478,437.5,713.25,519.25,1334.5,3149,3766,3667,4103,4618,2042.5,1108,4,0.74909,0.508657,0.769979,0.598686,-0.031836,0.20667,2.048047,0.495194,0.494028,-1.035519,-0.290726,0.290726,1.287892,-0.250322,567695,5601965
1,240,266.5,359,217,665,1723.5,2078.5,1883,2140.5,2292,854.5,433.5,4,0.793858,0.558189,0.792204,0.368675,0.001369,0.118414,1.215868,0.350862,0.313176,-1.16877,-0.374912,0.374912,2.653435,-0.335044,565540,5600105
1,212.5,248.5,452,206,815.5,2637.5,3074,3186.5,3402,3528,1375,612,4,0.874473,0.643838,0.8764,0.583949,0.022377,0.218511,1.994728,0.532775,0.546542,-1.293135,-0.41893,0.41893,1.756293,-0.385283,556470,5597435
1,234,274,427.5,230,699,1895.5,2357,2456,2644,2613.5,1001.5,484,4,0.829367,0.596561,0.835311,0.462901,0.014872,0.158656,1.556778,0.426441,0.404135,-1.263135,-0.429186,0.429186,2.290136,-0.389441,565595,5600120
1,208,281,579.5,250,966.5,2826,3282.5,3648,3527.5,3145.5,1423.5,664.5,4,0.875385,0.644768,0.872016,0.641401,0.032489,0.242764,2.202587,0.565274,0.592541,-1.31927,-0.447388,0.447388,1.635427,-0.412839,558500,5587445
1,247,305.5,524,266.5,873.5,2511.5,2958.5,3125,3119.5,3293,1283.5,645,4,0.839679,0.607555,0.845669,0.57287,0.018564,0.206901,1.954644,0.511325,0.515611,-1.265402,-0.427538,0.427538,1.829341,-0.386435,558870,5588815
1,315,391,413,283,575,1532,1891,2050,2120,2244,753,379,4,0.772994,0.535282,0.763459,0.398389,0.008477,0.126205,1.32337,0.363988,0.33035,-1.214855,-0.436834,0.436834,2.81858,-0.380417,553835,5585190
1,240,289.25,443.75,256,743.5,2004,2348,2663.25,2557.5,2450.5,1155,550,4,0.825634,0.592604,0.819916,0.501371,0.010398,0.174129,1.69596,0.456918,0.442218,-1.226329,-0.394134,0.394134,2.035675,-0.355778,558905,5590080
1,194,247,372.5,209,585.5,1719,2089.5,2327,2290,2231,907,446.5,4,0.834952,0.60254,0.83643,0.427009,0.012454,0.144762,1.42692,0.402091,0.37246,-1.253379,-0.42162,0.42162,2.500783,-0.37923,559030,5588170
1,415,317.5,431,254,737,1986,2561.5,2679,2693.5,2958,1289,595.5,4,0.792406,0.556595,0.792667,0.477404,-0.000416,0.170405,1.609246,0.443524,0.425741,-1.154219,-0.383197,0.383197,1.867265,-0.329389,560050,5595990
1,228,278,495.5,226,904.5,2587,3034.5,3301.5,3340,3574.5,1292,604.5,4,0.858288,0.627105,0.86237,0.595928,0.021512,0.216414,2.038067,0.526461,0.536877,-1.286145,-0.428456,0.428456,1.812777,-0.39166,558475,5587505
1,522,721.5,952,911.5,1345,2471,2883,2962,3160,3144,2419.5,1494,4,0.597578,0.342656,0.598466,0.446913,-0.088019,0.156959,1.498931,0.406828,0.386794,-0.743591,-0.167133,0.167133,1.166113,-0.112455,563315,5596735
1,261.5,333,558.5,292,916.5,2780.5,3342.5,3577.5,3635,3884.5,1519,731,4,0.84458,0.612742,0.845994,0.644251,0.019229,0.236397,2.212901,0.553505,0.573669,-1.242653,-0.405,0.405,1.579497,-0.366394,559910,5596115
1,935,989,1104,842.5,1428,3443,4037,4106.5,4316.5,4221,1864,1003,4,0.685837,0.44189,0.68,0.658186,-0.024077,0.220364,2.263318,0.487592,0.487718,-1.033428,-0.369107,0.369107,1.36442,-0.310169,558260,5591635
1,290,336,582,286.5,1026,2983,3478,3841,3807,3897,1550,731,4,0.852901,0.621496,0.852338,0.673589,0.020825,0.226208,2.319046,0.537989,0.553125,-1.26747,-0.410202,0.410202,1.530923,-0.380524,558960,5591085
1,294,368.5,613.5,401,1037.5,2031.5,2281,2561.5,2538,2476.5,1612,908.5,4,0.710926,0.466419,0.706679,0.42434,-0.031337,0.14146,1.417261,0.390422,0.361937,-0.979023,-0.253723,0.253723,1.537891,-0.221225,585745,5600360
1,259,277,461.5,280,834.5,2205,2517,2754,2771,2518,1346,653,4,0.815751,0.581979,0.819676,0.493275,0.003275,0.177774,1.666669,0.458925,0.445351,-1.170415,-0.350631,0.350631,1.819556,-0.308335,590245,5595720
1,250,288,492,315,882,2123,2473,2776,2665,2554,1425,714,4,0.784629,0.547733,0.786441,0.486924,-0.010625,0.173961,1.643693,0.45018,0.435964,-1.098091,-0.314162,0.314162,1.737347,-0.26911,590525,5595645
1,316,348.5,551,279,946,2561.5,3017,3174,3227,2955,1478,720,4,0.836903,0.604589,0.838516,0.577987,0.005428,0.206169,1.973156,0.511724,0.516507,-1.208983,-0.373682,0.373682,1.621483,-0.334715,589470,5598365
1,261,268,458,287,817,2009,2312,2574,2525,2474,1368,672,4,0.791956,0.556117,0.791267,0.457453,-0.008411,0.159096,1.537066,0.430048,0.407566,-1.117545,-0.309709,0.309709,1.822048,-0.267417,590375,5595735
1,283,310,508,273,968,2258,2555,2774,2813,2913,1423,763,4,0.822727,0.589487,0.82781,0.50683,-0.014866,0.170122,1.715711,0.460124,0.447052,-1.12641,-0.293869,0.293869,1.665639,-0.264319,585435,5599930
1,296,337,594,380,1037.5,2212.5,2489,2701,2785,2884,1556,818.5,4,0.760091,0.52102,0.772357,0.471045,-0.032742,0.163514,1.58624,0.438788,0.420537,-0.973092,-0.295782,0.295782,1.572706,-0.236395,585455,5600045
1,264,265.5,499,307.5,821,2073,2559,2503,2679,2740,1314,663,4,0.805186,0.570526,0.806959,0.460622,-0.008091,0.163106,1.54853,0.435113,0.413512,-1.120485,-0.322157,0.322157,1.870893,-0.285504,591320,5595820
1,261,292.25,492,248.75,908,2658,3023,3146.5,3366,3265,1411,664,4,0.86159,0.630555,0.86696,0.582349,0.016694,0.209674,1.98894,0.521541,0.530232,-1.262736,-0.397034,0.397034,1.68611,-0.364037,585495,5599865
1,244,257.5,459,262.5,856,2005.5,2257.5,2451,2470,2591,1392.75,678.25,4,0.772324,0.534354,0.777861,0.4389,-0.007651,0.150704,1.469939,0.41483,0.391097,-1.131312,-0.310945,0.310945,1.761619,-0.274059,590490,5595710
1,228,256,463,253,825,2182,2540,2806,2792,2722,1324,630,4,0.834428,0.601995,0.83385,0.506781,0.00874,0.182378,1.715532,0.469475,0.459993,-1.210983,-0.382982,0.382982,1.843601,-0.336914,590740,5595500
1,237.5,284,486,310,856,2246,2602.5,2761,2848,2856,1492,733.5,4,0.780442,0.543486,0.793565,0.484921,-0.008356,0.172079,1.636444,0.446695,0.43074,-1.096826,-0.318677,0.318677,1.681977,-0.273072,589945,5595620
1,217,280,474.5,328,820.5,2197,2556,2792,2812,2932,1345.5,694,4,0.795578,0.560077,0.786667,0.493603,-0.000626,0.178907,1.667856,0.462985,0.450839,-1.152368,-0.349955,0.349955,1.809126,-0.30126,590960,5595240
1,204.5,231,422.5,239,733,2161,2515,2691,2706.5,2907.5,1225.5,579.5,4,0.832281,0.599323,0.839338,0.48699,0.006083,0.177228,1.64393,0.457789,0.444041,-1.188913,-0.368836,0.368836,1.979728,-0.320268,591025,5595235
1,318,311,461,249,762,2538,3043,3295,3317,3383,1329,627,4,0.809459,0.574898,0.813224,0.596873,0.014935,0.209774,2.041486,0.506298,0.508746,-1.270931,-0.421053,0.421053,1.803242,-0.381916,560630,5588020
1,353,328,484.75,311.5,775.75,2129.25,2526,2529,2742.5,2723.5,1242.5,568.5,4,0.791816,0.555942,0.806097,0.459385,0.003018,0.155935,1.544054,0.424422,0.401279,-1.161261,-0.399469,0.399469,1.910711,-0.354798,589365,5597680
1,232,314,556,283,942,2372,2696,3043,2965,2626,1331,652,4,0.827876,0.595005,0.819031,0.538116,0.009749,0.194265,1.828903,0.489603,0.485931,-1.212741,-0.404547,0.404547,1.709339,-0.358075,565720,5593920
1,315.5,311,471.5,283.75,794.5,2391.5,2889.75,3068,3141.5,3172,1213,612,4,0.820118,0.586426,0.824358,0.544617,0.016053,0.181441,1.852423,0.451956,0.437899,-1.253663,-0.441538,0.441538,1.959272,-0.387537,563680,5593685
1,486,469,699.5,476,1271,2726.5,3089,3294.5,3455,3437,1585.5,844,4,0.744999,0.503169,0.753699,0.519879,-0.0094,0.175535,1.762923,0.448525,0.434474,-1.102566,-0.345653,0.345653,1.552012,-0.291362,560920,5585450
1,388,301,521.75,268.25,887,2655.5,3242,3441.5,3515.5,3663,1380,677,4,0.847742,0.616016,0.850132,0.595508,0.021301,0.221539,2.036547,0.530979,0.54288,-1.273566,-0.424908,0.424908,1.719456,-0.379686,559455,5590770
1,250,314.25,532,284.75,905.5,2065.5,2367.5,2511,2604.5,2590.5,1355.5,735.5,4,0.786859,0.550484,0.790579,0.447972,-0.017415,0.149764,1.502764,0.416906,0.392632,-1.064298,-0.280057,0.280057,1.746064,-0.240441,562845,5583805
1,464,397,578.25,377.5,935,2285.5,2671,2782.25,2908.5,3419,1488.5,860.25,4,0.759256,0.520084,0.763016,0.50086,-0.016082,0.168491,1.694113,0.445117,0.429234,-1.08032,-0.32726,0.32726,1.65661,-0.270075,566930,5587715
1,420.5,467.5,724.5,437,1204,2785.5,3203.5,3525,3510.5,3651.5,1641.5,839,4,0.782615,0.545874,0.780079,0.581418,-0.000166,0.20714,1.985569,0.502126,0.502753,-1.159884,-0.379175,0.379175,1.466877,-0.325081,560820,5585415
1,228,278,437,255.5,801,2059.5,2388,2547.5,2544.5,2393,1131,560,4,0.813472,0.579518,0.806505,0.465953,0.002357,0.155988,1.567817,0.42406,0.400703,-1.182335,-0.372229,0.372229,2.043757,-0.327299,563160,5585135
1,220,289,460,264,772.5,2018,2329,2400,2497,2184,1120.5,548.5,4,0.804242,0.569515,0.806579,0.44281,0.010958,0.151468,1.484086,0.414882,0.38972,-1.221811,-0.423606,0.423606,2.056839,-0.373935,565675,5594035
1,190.5,252,457.75,278.75,803.5,1969.5,2274,2519.5,2508.75,2536.5,1277.5,676,4,0.801145,0.5661,0.800936,0.452058,-0.005958,0.156831,1.517546,0.420775,0.398362,-1.123984,-0.34672,0.34672,1.867701,-0.299032,580705,5585425
1,277.5,332,587,358,1071,2407.5,2728.5,2911.5,3046.5,3119.5,1640,836.5,4,0.776214,0.538383,0.78324,0.499749,-0.021569,0.17592,1.690092,0.456105,0.442182,-1.052368,-0.275131,0.275131,1.515806,-0.232348,569160,5591680
1,340.5,322.5,408,228.75,533.75,1435.5,1759,1938,1895,1864,636,320.5,4,0.802144,0.567199,0.803153,0.3855,0.018657,0.125833,1.27674,0.367053,0.32974,-1.317669,-0.520614,0.520614,3.295583,-0.45679,561705,5590850
1,223.5,323.25,700,346.25,1223.5,2920.5,3358,3751.25,3571,3753,1822.5,911.5,4,0.828707,0.595838,0.82205,0.639391,-0.000114,0.226782,2.195317,0.53915,0.553354,-1.177476,-0.352962,0.352962,1.338959,-0.310819,581025,5588025
1,213,307.5,499,310.5,951,2207,2480.5,2693.5,2681.5,2650,1375,741.5,4,0.794983,0.559385,0.795518,0.483725,-0.012981,0.164756,1.632116,0.437525,0.419343,-1.098308,-0.314544,0.314544,1.715424,-0.274896,580380,5585790
1,209.5,245.5,375,232.5,592,1509.5,1773.5,1939,1971.5,2052,862,439.5,4,0.797664,0.562352,0.813703,0.364409,0.001184,0.118847,1.200432,0.351113,0.31277,-1.160861,-0.374608,0.374608,2.653032,-0.3258,575990,5589330
1,244,314.5,536.5,233.5,1031,3181,3708,4031.5,3943,3686,1546,738,4,0.878597,0.64805,0.881571,0.713483,0.038959,0.277245,2.463382,0.614687,0.667087,-1.319808,-0.44978,0.44978,1.543379,-0.421713,560550,5592085
1,318,272,618,219.5,1133.5,3277,3749.5,4179.5,4005,3922,1662,752,4,0.800342,0.565273,0.80323,0.724281,0.020057,0.273503,2.50245,0.597205,0.627427,-1.267463,-0.454434,0.454434,1.410249,-0.421495,573970,5575945
1,196,235,393,247,734,1552,1726,1864,1990,2418,1014,532,4,0.790259,0.55426,0.790589,0.358004,-0.017026,0.115167,1.177258,0.333896,0.29116,-1.001898,-0.295123,0.295123,2.379972,-0.237477,572160,5580780
1,226.5,261,491.5,224,950.5,2787,3291,3500.5,3510.5,3697,1464,682,4,0.830033,0.596469,0.829397,0.609662,0.017264,0.229107,2.087759,0.539207,0.554518,-1.308619,-0.425037,0.425037,1.631043,-0.394489,573210,5577800
1,202,219,378.25,187,699.25,2253.5,2741,2897,2939.25,3174,1103.5,526,4,0.876715,0.646131,0.870277,0.547677,0.023101,0.19781,1.863494,0.503138,0.504471,-1.303381,-0.453625,0.453625,2.131729,-0.417001,573340,5577820
1,308.5,360,520.5,294,836.5,2259.5,2499.5,2704.5,2776.5,2759.5,1171,572,4,0.803268,0.568365,0.807181,0.50722,0.008673,0.175919,1.717123,0.459799,0.445221,-1.21499,-0.404661,0.404661,1.978222,-0.352559,564205,5576130
1,284,340,582,369,1039,2224,2557,2764,2810,2868,1667,904,4,0.759894,0.520801,0.761873,0.454923,-0.034504,0.154636,1.52791,0.419335,0.397105,-0.980959,-0.229758,0.229758,1.492126,-0.189028,563005,5581490
1,427,372.5,473.5,267.5,841.5,2105.5,2427,2478.5,2651.5,3004,1100,529.5,4,0.786925,0.550586,0.785393,0.457568,0.001734,0.144537,1.537482,0.407521,0.3793,-1.169796,-0.380211,0.380211,2.152541,-0.335472,560935,5580100
1,392,382.25,577.25,312.25,994.5,2614.5,2945,3207.25,3241.25,3275.5,1427,702.75,4,0.806698,0.57211,0.813341,0.567626,0.007706,0.198523,1.935672,0.4912,0.488287,-1.211496,-0.385893,0.385893,1.658329,-0.345716,561045,5579980
1,314.5,355.25,481.5,263.75,843,2472.25,2952,3171,3193.5,3210.5,1179.5,592,4,0.844662,0.612832,0.846082,0.58465,0.024491,0.211404,1.997264,0.514246,0.519396,-1.289142,-0.439099,0.439099,1.940051,-0.401884,569605,5576545
1,357.5,303,438,287,1049.5,2745.5,3132.5,2678,3491.5,4152.5,1685,843.5,4,0.764482,0.52557,0.805593,0.487291,-0.026146,0.161498,1.645017,0.426504,0.407807,-1.009813,-0.260633,0.260633,1.480366,-0.210223,575475,5591825
1,205,260,486,265.5,854,1927,2191,2468,2456,2929,1381,706,4,0.808898,0.574567,0.810213,0.440386,-0.012044,0.14745,1.475316,0.413993,0.38803,-1.102259,-0.303896,0.303896,1.796841,-0.260695,566330,5576540
1,275,314,569,280,987,2760,3204,3427,3506,3619,1363,667,4,0.848188,0.616552,0.853055,0.607127,0.020485,0.223808,2.078585,0.534466,0.54949,-1.263358,-0.421636,0.421636,1.683,-0.383915,559950,5576825
1,255,319.5,500.5,261.5,928,2757,3279,3531.5,3578,3017,1335,661,4,0.868815,0.638028,0.8632,0.668157,0.033365,0.240224,2.299391,0.556401,0.578776,-1.318232,-0.468895,0.468895,1.728091,-0.432688,562635,5574695
1,344,372.5,559.5,301.5,958,2398.5,2645.5,2994,2850,2740.5,1636,887.5,4,0.807204,0.572686,0.823952,0.562419,-0.003205,0.170142,1.916832,0.464545,0.452311,-1.157412,-0.348825,0.348825,1.464919,-0.319665,561640,5573435
1,419,396.75,618.25,354.75,1134,2676.75,3119.5,3352.25,3501,3541,1595.5,801,4,0.801317,0.56627,0.807514,0.586358,-0.008355,0.20837,2.003443,0.511032,0.514654,-1.132713,-0.32113,0.32113,1.516043,-0.281805,562000,5577060
1,316,348.5,500.5,273,856,2501,2942,3199,3168,3269,1406,653,4,0.830699,0.598021,0.829208,0.572822,0.011906,0.210391,1.954472,0.508932,0.51227,-1.226025,-0.384449,0.384449,1.741829,-0.343219,564455,5577095
