class,coastal_aerosol,blue,green,red,red_edge1,red_edge2,red_edge3,nir,narrow_nir,water_vapour,swir1,swir2,scl,NDVI,kNDVI,NDVI8a,EVI,TCG_GSO,TCG,LAI,SAVI,MSAVI,BUI,NDBI,NDMI,BAEI,BSI,x_coord,y_coord
1,289,386.75,615,598,1106.5,1896,2161.5,2325.5,2593,2615,1302.25,771.5,4,0.598367,0.343495,0.626354,0.339053,-0.03778,0.120058,1.108693,0.327075,0.294319,-0.858993,-0.251717,0.251717,1.839351,-0.156148,560200,5607595
1,110,251.5,412,411,761.5,1715.5,2048,2244,2293.5,2420,833.5,410,4,0.662286,0.412507,0.66878,0.353747,0.001171,0.132767,1.161858,0.355401,0.321867,-1.07354,-0.424649,0.424649,2.704852,-0.297525,559345,5607475
1,141,257,427,512,794,1160,1336,1477,1610,1775,755,622,4,0.573323,0.317351,0.565558,0.234475,-0.032676,0.082031,0.730332,0.248901,0.208251,-0.798443,-0.255192,0.255192,2.686646,-0.127327,568680,5607275
1,285,317,454,478.5,858.5,1409,1711,1930,2084,2111,1195,672,4,0.649948,0.398977,0.678113,0.284958,-0.025097,0.110438,0.912979,0.311491,0.274015,-0.862183,-0.290784,0.290784,2.238875,-0.175399,562055,5606120
1,129.5,242,355.5,355.5,701,1235,1451.5,1683,1632,1728,740,404,4,0.651717,0.400953,0.664893,0.283482,-0.010248,0.090937,0.907639,0.273647,0.234362,-1.006631,-0.342051,0.342051,2.968641,-0.243581,567250,5605685
1,656,763.5,849,782,1071.5,1747,1979,2163,2154.5,2097,1140.5,730,5.5,0.51982,0.296673,0.516012,0.295594,-0.043325,0.086477,0.951459,0.26778,0.238249,-0.839676,-0.304971,0.304971,2.282529,-0.212501,567690,5607060
1,404,395,490.5,453.5,736,1441.5,1692.5,1844,1862,1861,877,545,5.5,0.594624,0.364106,0.608104,0.290018,-0.02124,0.090812,0.931285,0.276167,0.242365,-0.931189,-0.343297,0.343297,2.774525,-0.249962,567575,5607080
1,140,226.25,432.5,408.5,754.5,1366,1659.75,2054.5,1946.75,1618.5,889.5,544,4,0.691988,0.445352,0.681704,0.325475,0.002983,0.123843,1.05957,0.339072,0.304237,-1.152782,-0.390991,0.390991,2.463717,-0.29969,566965,5606250
1,193,192.5,378.5,351.5,688,1294,1408,1735,1741,1876,909,464.5,4,0.685222,0.437833,0.683839,0.288451,-0.012298,0.097155,0.925616,0.293571,0.254119,-1.002099,-0.302904,0.302904,2.613484,-0.21929,567475,5605925
1,82,147,294,360,713.5,1081.5,1293,1596,1697,1980.5,1074.5,568,4,0.626638,0.374739,0.643965,0.229605,-0.028192,0.087857,0.712712,0.25346,0.214948,-0.854276,-0.237152,0.237152,2.748712,-0.128113,568895,5607045
1,1052,909.5,950,885,1316,1871.5,2011,2234,2314,2444,1713.5,1342,5.5,0.426437,0.200243,0.464085,0.304506,-0.10317,0.069725,0.983704,0.24636,0.22224,-0.611877,-0.162054,0.162054,1.622738,-0.109539,572680,5629220
1,609,669.5,905.5,876,1358,1989,2176,2403,2556,3498,1852,1214,7,0.46543,0.2133,0.49082,0.306316,-0.090776,0.094535,0.990251,0.279429,0.250298,-0.588718,-0.130282,0.130282,1.409742,-0.060429,562590,5611185
1,364.5,404,563.5,641.75,961.5,1391,1551.75,1793.5,1894.5,1882.5,1153.25,717.75,5.5,0.451415,0.210263,0.456004,0.217538,-0.046345,0.077841,0.669052,0.224387,0.194533,-0.686417,-0.232512,0.232512,2.228057,-0.111388,585670,5620095
1,366,339.5,557,623,1011,1476.5,1667.5,1897,1950.5,2143,1429,862.5,5.5,0.498439,0.246296,0.517505,0.244933,-0.06076,0.088518,0.768168,0.253318,0.220598,-0.647933,-0.148992,0.148992,1.89763,-0.057052,586245,5619385
1,111,164,306,390,701,1060,1249,1442,1529,1705,1075,631,4,0.571574,0.315549,0.598452,0.20973,-0.040296,0.074479,0.640804,0.229816,0.191461,-0.70718,-0.13499,0.13499,2.478293,-0.038988,576575,5611440
1,627,633.25,879,1008,1432,2199,2520,2672.5,2848.5,3011.5,1764,1103.25,7,0.460992,0.212887,0.497436,0.296432,-0.075854,0.110738,0.954492,0.285614,0.259357,-0.656726,-0.192226,0.192226,1.511899,-0.077707,585295,5620640
