class,coastal_aerosol,blue,green,red,red_edge1,red_edge2,red_edge3,nir,narrow_nir,water_vapour,swir1,swir2,scl,NDVI,kNDVI,NDVI8a,EVI,TCG_GSO,TCG,LAI,SAVI,MSAVI,BUI,NDBI,NDMI,BAEI,BSI,x_coord,y_coord
1,221,347,303,372.5,608,1080,1267,1567,1527,1601,981,596.5,4,0.622246,0.368937,0.60256,0.261315,-0.025636,0.084585,0.827439,0.256545,0.216626,-0.869244,-0.245951,0.245951,2.61698,-0.185399,568680,5607275
1,583,534,536,519,859,1807,2325,2590,2616,3297,1278,897,4,0.657257,0.40698,0.672155,0.426506,-0.029993,0.134382,1.4251,0.365924,0.339766,-0.952528,-0.305394,0.305394,1.919225,-0.248522,567690,5607060
1,230,367,379,521,866,1328,1681,1942,2234,2438,1668,1019,4,0.575849,0.31996,0.6144,0.28782,-0.069017,0.097924,0.923332,0.285091,0.249336,-0.656579,-0.092985,0.092985,1.731121,-0.033182,568895,5607045
1,801,726,571,579,751.5,1024,1082.5,1452,1217.5,2524,958.5,888.5,7,0.422246,0.176426,0.355671,0.230877,-0.059647,0.04582,0.717313,0.186339,0.153891,-0.582977,-0.203604,0.203604,2.284158,-0.151742,567250,5605685
1,1350,1267,1184,1182,1526,1973,2159,2233,2330,3054,1658,1235,7,0.304613,0.092525,0.329688,0.256445,-0.109955,0.047009,0.809818,0.187611,0.164786,-0.448827,-0.140714,0.140714,1.457509,-0.098871,560200,5607595
1,2688,2576,2780,3138,3774,4794,5292,5004,6022,7352,4910,5930,7,0.240425,0.05774,0.31285,0.351777,-0.438328,0.039137,1.15473,0.222647,0.21647,-0.23688,-0.018406,0.018406,0.789884,0.025922,567575,5607080
1,7213,6282,6650,7370,8326,8809,8923,8448,9242,13069,8259,7932,7,0.071001,0.005041,0.112709,0.182269,-0.778999,-0.091348,0.541448,0.080526,0.085506,-0.083038,-0.011311,0.011311,0.696482,0.029609,566965,5606250
1,2530,1942,2424,2754,3379,3989,4257,3680,4375,5433,3989,4079,7,0.143923,0.020711,0.227381,0.148027,-0.354304,-0.002215,0.417563,0.12148,0.114194,-0.103631,0.040292,-0.040292,0.89724,0.090659,567475,5605925
1,1386,1403,1296,1370,1760,2186,2263,2480,2507,3428,2248,1951,7,0.299581,0.089509,0.286378,0.285846,-0.158758,0.046147,0.916189,0.196723,0.175589,-0.373997,-0.076056,0.076056,1.273825,-0.054877,572680,5629220
1,1487,1400,1234,1200,1446,1593,1697,1848,1816,3143,1611,1684,7,0.212598,0.045167,0.204244,0.189518,-0.141736,0.005912,0.567676,0.120775,0.102262,-0.281115,-0.068517,0.068517,1.476274,-0.072124,585670,5620095
1,1134.5,970,946,1055,1221,1471.5,1623,1613,1828,2641,1587,1621,7,0.200616,0.040233,0.24818,0.132445,-0.132192,0.008932,0.361187,0.108583,0.090615,-0.186386,0.014879,-0.014879,1.591638,0.026312,586245,5619385
1,261,373.5,382.5,438.5,723,994,1242,1299,1502,1581,1000,648,7,0.497488,0.242562,0.559006,0.197123,-0.046148,0.054188,0.595192,0.190785,0.155183,-0.629332,-0.120575,0.120575,2.490119,-0.070917,576575,5611440
1,1586,1508,1406,1400,1758.5,2155,2291,2513,2589,3375,2021,1816,7,0.272484,0.074112,0.280789,0.292269,-0.145269,0.034394,0.939429,0.178623,0.157305,-0.40412,-0.127471,0.127471,1.288816,-0.096392,566425,5628505
1,263,352,384,390,710,1151,1411,1495,1707,1958,1216,764,4,0.586524,0.331246,0.628271,0.246744,-0.050684,0.072211,0.774719,0.240764,0.201367,-0.689435,-0.102911,0.102911,2.087751,-0.069709,571290,5620775
1,1841,1441,1269,1071.5,1124,1270,1254,1495,1344,1878,1113,931,7,0.165235,0.027315,0.113512,0.149287,-0.098417,-0.006522,0.422121,0.083945,0.068843,-0.311074,-0.145839,0.145839,1.710894,-0.146054,573840,5618660
1,1978,1548,1448,1238,1287,1407,1400,1630,1531,1885,1242,1127,7,0.135672,0.018405,0.133654,0.135815,-0.114624,-0.015353,0.373378,0.074733,0.062622,-0.237933,-0.095551,0.095551,1.593428,-0.103574,573840,5618575
1,1841,1408,1224,1016,1218,1288,1385,1446,1399,1878,1171,1028,7,0.168462,0.028372,0.138777,0.138415,-0.102197,-0.006891,0.382786,0.081994,0.066999,-0.293074,-0.130129,0.130129,1.704384,-0.1318,573825,5618615
1,2015,1538,1378,1190,1372,1522,1562,1538,1630,1950,1305,1208,7,0.135802,0.01844,0.14717,0.128546,-0.125883,-0.017248,0.347078,0.07243,0.059611,-0.219034,-0.086654,0.086654,1.518557,-0.104525,573945,5618595
1,2016,1500,1288,1144.5,1296,1455,1523,1594,1549,2121,1019,724,7,0.177187,0.031385,0.167691,0.166422,-0.087454,-0.001782,0.484113,0.093707,0.07809,-0.386332,-0.206081,0.206081,1.689328,-0.173432,567765,5625635
1,643,689,630,496,811,1055,1120,1430,1250,2068,1066,916,7,0.461455,0.209779,0.431844,0.23277,-0.064522,0.048411,0.724161,0.200379,0.168971,-0.63933,-0.226976,0.226976,2.061321,-0.183768,568025,5625615
1,797,429,504,564,803,1189,1404,1368,1596,2452,1251,1324,7,0.411423,0.167671,0.478301,0.163142,-0.091269,0.039943,0.472247,0.173239,0.140066,-0.452541,-0.039539,0.039539,2.044193,0.010107,569650,5624580
