class,coastal_aerosol,blue,green,red,red_edge1,red_edge2,red_edge3,nir,narrow_nir,water_vapour,swir1,swir2,scl,NDVI,kNDVI,NDVI8a,EVI,TCG_GSO,TCG,LAI,SAVI,MSAVI,BUI,NDBI,NDMI,BAEI,BSI,x_coord,y_coord
1,158,235,328.5,212,610,2107,2684,2801.5,3064,2665,1314,579,4,0.83205,0.599378,0.838273,0.499733,0.008896,0.175423,1.690035,0.440978,0.426281,-1.217523,-0.397482,0.397482,1.9585,-0.348345,560200,5607595
1,173,235,340.5,216.5,514,1813,2381.5,2425,2613.5,2553,909,435,4,0.833772,0.601257,0.84807,0.466542,0.020663,0.159777,1.569949,0.429038,0.406036,-1.302273,-0.459627,0.459627,2.598816,-0.410639,559345,5607475
1,273,264,409,285,721,2163.5,2732,3000,3057,3316.5,1421,648.5,4,0.82102,0.587654,0.821649,0.533113,0.011314,0.203165,1.810804,0.495823,0.494271,-1.2076,-0.382025,0.382025,1.798883,-0.333063,568680,5607275
1,136.5,188,330,216,608.5,2107.5,2710,2846.5,3011,2647.5,1218.5,559,4,0.858963,0.627759,0.860789,0.511834,0.021977,0.194388,1.733817,0.486353,0.482062,-1.290033,-0.427342,0.427342,2.097598,-0.383176,567250,5605685
1,180,228.75,358.75,251.5,620.5,1996,2564,2772.75,2901.5,2810,1248,565.75,4,0.847729,0.615821,0.852928,0.455156,0.014257,0.15761,1.528753,0.420241,0.397144,-1.252708,-0.407871,0.407871,2.022404,-0.359568,562055,5606120
1,178,173,310,195,526,1776,2228,2372,2479.5,2510,890,425,4,0.84866,0.617048,0.859043,0.441567,0.019973,0.16015,1.479589,0.42942,0.405731,-1.288673,-0.437664,0.437664,2.656089,-0.387546,567575,5607080
1,193,180,326,205,545,1881,2394,2492,2647,2758,1003,462,4,0.851357,0.619879,0.859459,0.456298,0.017679,0.168533,1.532886,0.443218,0.4234,-1.267812,-0.423033,0.423033,2.408408,-0.372714,567690,5607060
1,348,299,505,396.5,883,2367,2884,3066,3294,3059,1799,877,4,0.764734,0.526158,0.767777,0.494345,-0.030402,0.184649,1.670541,0.457189,0.447613,-0.985978,-0.239843,0.239843,1.489691,-0.183107,585295,5620640
1,333,287,516,329,750,2320,2850,3416,3167,3399,1566,740,4,0.818968,0.585446,0.82021,0.586675,0.000073,0.228235,2.004589,0.531353,0.541388,-1.175305,-0.340716,0.340716,1.583056,-0.292847,572680,5629220
1,218,317.5,546.5,345.5,888,2843,3568,3712,3803,3762,1566,757,4,0.813574,0.579628,0.822682,0.623351,0.005462,0.231458,2.137284,0.529217,0.536766,-1.169252,-0.405326,0.405326,1.592182,-0.351904,562590,5611185
1,280,260,417,296,711,2287,2720.5,2880,3049,3315,1434.5,666,4,0.821719,0.5881,0.829089,0.524489,0.006195,0.195127,1.7796,0.483195,0.477233,-1.178259,-0.365205,0.365205,1.738439,-0.317575,568895,5607045
1,272,286.75,458,343.25,851,2229,2697.5,2881,3050,3068.5,1516,720.5,4,0.777571,0.540273,0.789428,0.4634,-0.013309,0.171149,1.558579,0.4376,0.419761,-1.062574,-0.288747,0.288747,1.685849,-0.22914,576575,5611440
1,272,269,461.5,354.5,809,2116,2549,2817,2890.5,2860,1600,865,4,0.785084,0.548584,0.799871,0.467547,-0.02217,0.177374,1.573583,0.45212,0.436674,-1.034382,-0.251966,0.251966,1.620872,-0.204796,586245,5619385
1,223,297.5,390.5,283,669.5,1854,2375.5,2530,2630,2554.5,1121.25,597.5,4,0.780002,0.542313,0.779075,0.446053,0.013031,0.15361,1.495819,0.409726,0.390925,-1.241499,-0.408415,0.408415,2.137861,-0.356199,585670,5620095
1,284,232,403.25,291.25,732,2405.5,3044.75,3250.5,3473,3442.25,1622.5,763,4,0.826088,0.593092,0.836305,0.543669,0.001626,0.212594,1.848994,0.509779,0.513634,-1.160884,-0.33647,0.33647,1.622706,-0.288544,566425,5628505
1,191,205.5,341.5,228,676,2163,2830,2977,3142,2637,1219,576,4,0.854014,0.622662,0.848502,0.532257,0.021887,0.203735,1.807705,0.499942,0.499982,-1.266478,-0.419991,0.419991,2.067928,-0.368083,566965,5606250
1,209,206,394,265,648,2072,2544,2991,2927,3265,1265,578,4,0.836336,0.604017,0.846398,0.51395,0.014854,0.199413,1.74147,0.487779,0.483548,-1.232282,-0.377752,0.377752,1.963368,-0.33476,567475,5605925
1,333,361.5,389.5,253,568,1467.5,1734.5,2045.5,1902,2145,978.5,530.5,4,0.734946,0.493062,0.752134,0.39043,-0.00124,0.11895,1.294574,0.348956,0.308935,-1.142675,-0.372915,0.372915,2.390423,-0.329076,573840,5618660
1,113.5,188.5,358,231,619,1554,1972,1904.5,2213.5,2589,1125,530.5,4,0.800869,0.565733,0.808105,0.321766,-0.001744,0.113523,1.046149,0.330886,0.293581,-1.135771,-0.341057,0.341057,2.184237,-0.264714,571290,5620775
1,341.5,350.5,394.5,246.5,642.5,1687.5,2214,2461.5,2448,1711.5,1030.5,613,4,0.790002,0.553965,0.796689,0.475089,0.003466,0.162185,1.600873,0.433239,0.412937,-1.1909,-0.378165,0.378165,2.25106,-0.337657,573840,5618575
1,353,375,427.5,260.75,656,2093.5,2690.5,2753.25,3037,2746.5,1103.5,585.5,4,0.79595,0.560379,0.80522,0.520764,0.010469,0.182588,1.766124,0.468143,0.459323,-1.219733,-0.394813,0.394813,2.129728,-0.356409,573825,5618615
1,244,276,373.5,243,584,1519.5,1806.5,2043,2052,1904,923,473,4,0.776908,0.539596,0.785604,0.388312,0.00445,0.129094,1.286912,0.366915,0.331007,-1.189447,-0.397911,0.397911,2.404169,-0.345432,573945,5618595
1,340,316.75,347,224.25,561,1665,1968,2021.5,1966,2235.5,972,436,4,0.758193,0.518712,0.776947,0.341879,-0.003696,0.110654,1.118919,0.329816,0.29088,-1.139052,-0.380796,0.380796,2.438045,-0.342522,573810,5618685
1,139,192.5,354.75,233,666.5,2265,2873,3157.5,3273.5,3167,1482,659,4,0.85889,0.627579,0.860948,0.555804,0.014246,0.215279,1.892898,0.51596,0.52121,-1.228176,-0.379758,0.379758,1.753151,-0.334889,567765,5625635
1,101,156,298,176,515,1721,2244,2378,2461,2392,1043,447.5,4,0.870356,0.639613,0.874375,0.444259,0.011693,0.160629,1.48933,0.432955,0.410268,-1.292482,-0.416573,0.416573,2.311499,-0.376134,568025,5625615
1,133,223.5,373.25,252.75,611.5,2037.5,2534.25,2748.25,2805.5,2644.5,1293,636.5,4,0.8307,0.597976,0.836028,0.500793,0.006579,0.183961,1.693868,0.471259,0.461414,-1.201032,-0.383558,0.383558,1.953862,-0.337693,569650,5624580
1,446,484,585,398,793.5,2538,3047,3470,3553,3375.5,1379,623,4,0.790221,0.554025,0.794643,0.577052,0.016264,0.202193,1.969775,0.493781,0.492724,-1.232114,-0.419622,0.419622,1.863526,-0.364775,563635,5603890
1,253,239.5,375,286.25,515,1576.5,1962,2319,2191,2023,944,434,4,0.790321,0.554174,0.790565,0.419758,0.006256,0.142235,1.400686,0.391928,0.361443,-1.188651,-0.39785,0.39785,2.473996,-0.330024,565245,5603360
1,275,314.5,394.5,258.75,542.5,1766,2294.5,2519,2626,2896,871.5,428,4,0.805282,0.570403,0.8032,0.457533,0.020785,0.156475,1.537355,0.41591,0.390936,-1.30789,-0.481972,0.481972,2.463561,-0.420963,567100,5600230
